"Gender"	"Provinces"	"Periodo"	"Situation"	"value"
"Males"	"13 Ciudad Real"	"2012QI"	"Unemployed persons"	39.6
"Females"	"13 Ciudad Real"	"2012QI"	"Unemployed persons"	35.4
"Males"	"14 Córdoba"	"2012QI"	"Unemployed persons"	61.3
"Females"	"14 Córdoba"	"2012QI"	"Unemployed persons"	66.2
"Males"	"15 Coruña, A"	"2012QI"	"Unemployed persons"	51.9
"Females"	"15 Coruña, A"	"2012QI"	"Unemployed persons"	45.3
"Males"	"16 Cuenca"	"2012QI"	"Unemployed persons"	13.3
"Females"	"16 Cuenca"	"2012QI"	"Unemployed persons"	10.6
"Males"	"20 Gipuzkoa"	"2012QI"	"Unemployed persons"	19.8
"Females"	"20 Gipuzkoa"	"2012QI"	"Unemployed persons"	21
"Males"	"17 Girona"	"2012QI"	"Unemployed persons"	58.8
"Females"	"17 Girona"	"2012QI"	"Unemployed persons"	44.5
"Males"	"18 Granada"	"2012QI"	"Unemployed persons"	69.7
"Females"	"18 Granada"	"2012QI"	"Unemployed persons"	64.7
"Males"	"19 Guadalajara"	"2012QI"	"Unemployed persons"	14.5
"Females"	"19 Guadalajara"	"2012QI"	"Unemployed persons"	10.5
"Males"	"21 Huelva"	"2012QI"	"Unemployed persons"	54.6
"Females"	"21 Huelva"	"2012QI"	"Unemployed persons"	35.6
"Males"	"22 Huesca"	"2012QI"	"Unemployed persons"	9.8
"Females"	"22 Huesca"	"2012QI"	"Unemployed persons"	7.8
"Males"	"23 Jaén"	"2012QI"	"Unemployed persons"	47.9
"Females"	"23 Jaén"	"2012QI"	"Unemployed persons"	46.7
"Males"	"24 León"	"2012QI"	"Unemployed persons"	23
"Females"	"24 León"	"2012QI"	"Unemployed persons"	20.1
"Males"	"25 Lleida"	"2012QI"	"Unemployed persons"	25.4
"Females"	"25 Lleida"	"2012QI"	"Unemployed persons"	16.5
"Males"	"27 Lugo"	"2012QI"	"Unemployed persons"	12.6
"Females"	"27 Lugo"	"2012QI"	"Unemployed persons"	11.5
"Males"	"28 Madrid"	"2012QI"	"Unemployed persons"	342.4
"Females"	"28 Madrid"	"2012QI"	"Unemployed persons"	286.7
"Males"	"29 Málaga"	"2012QI"	"Unemployed persons"	139.6
"Females"	"29 Málaga"	"2012QI"	"Unemployed persons"	126
"Males"	"30 Murcia"	"2012QI"	"Unemployed persons"	114
"Females"	"30 Murcia"	"2012QI"	"Unemployed persons"	80.2
"Males"	"31 Navarra"	"2012QI"	"Unemployed persons"	28.9
"Females"	"31 Navarra"	"2012QI"	"Unemployed persons"	22.6
"Males"	"32 Ourense"	"2012QI"	"Unemployed persons"	14
"Females"	"32 Ourense"	"2012QI"	"Unemployed persons"	14.7
"Males"	"34 Palencia"	"2012QI"	"Unemployed persons"	6.9
"Females"	"34 Palencia"	"2012QI"	"Unemployed persons"	7.9
"Males"	"35 Palmas, Las"	"2012QI"	"Unemployed persons"	98.6
"Females"	"35 Palmas, Las"	"2012QI"	"Unemployed persons"	92
"Males"	"36 Pontevedra"	"2012QI"	"Unemployed persons"	60.9
"Females"	"36 Pontevedra"	"2012QI"	"Unemployed persons"	55
"Males"	"26 Rioja, La"	"2012QI"	"Unemployed persons"	15.8
"Females"	"26 Rioja, La"	"2012QI"	"Unemployed persons"	16.3
"Males"	"37 Salamanca"	"2012QI"	"Unemployed persons"	13.3
"Females"	"37 Salamanca"	"2012QI"	"Unemployed persons"	18.4
"Males"	"38 Santa Cruz de Tenerife"	"2012QI"	"Unemployed persons"	81.2
"Females"	"38 Santa Cruz de Tenerife"	"2012QI"	"Unemployed persons"	78.9
"Males"	"40 Segovia"	"2012QI"	"Unemployed persons"	7
"Females"	"40 Segovia"	"2012QI"	"Unemployed persons"	8.7
"Males"	"41 Sevilla"	"2012QI"	"Unemployed persons"	154
"Females"	"41 Sevilla"	"2012QI"	"Unemployed persons"	129.4
"Males"	"42 Soria"	"2012QI"	"Unemployed persons"	3.3
"Females"	"42 Soria"	"2012QI"	"Unemployed persons"	3.3
"Males"	"43 Tarragona"	"2012QI"	"Unemployed persons"	53.2
"Females"	"43 Tarragona"	"2012QI"	"Unemployed persons"	44
"Males"	"44 Teruel"	"2012QI"	"Unemployed persons"	5.6
"Females"	"44 Teruel"	"2012QI"	"Unemployed persons"	4.7
"Males"	"45 Toledo"	"2012QI"	"Unemployed persons"	52.1
"Females"	"45 Toledo"	"2012QI"	"Unemployed persons"	48.2
"Males"	"46 Valencia/València"	"2012QI"	"Unemployed persons"	179.3
"Females"	"46 Valencia/València"	"2012QI"	"Unemployed persons"	140
"Males"	"47 Valladolid"	"2012QI"	"Unemployed persons"	28.7
"Females"	"47 Valladolid"	"2012QI"	"Unemployed persons"	22.3
"Males"	"49 Zamora"	"2012QI"	"Unemployed persons"	10.2
"Females"	"49 Zamora"	"2012QI"	"Unemployed persons"	6.2
"Males"	"50 Zaragoza"	"2012QI"	"Unemployed persons"	50.3
"Females"	"50 Zaragoza"	"2012QI"	"Unemployed persons"	43.9
"Males"	"51 Ceuta"	"2012QI"	"Unemployed persons"	6.8
"Females"	"51 Ceuta"	"2012QI"	"Unemployed persons"	6.7
"Males"	"52 Melilla"	"2012QI"	"Unemployed persons"	3.4
"Females"	"52 Melilla"	"2012QI"	"Unemployed persons"	4.3
"Males"	"02 Albacete"	"2011QIV"	"Unemployed persons"	25.7
"Females"	"02 Albacete"	"2011QIV"	"Unemployed persons"	23.9
"Males"	"03 Alicante/Alacant"	"2011QIV"	"Unemployed persons"	131.7
"Females"	"03 Alicante/Alacant"	"2011QIV"	"Unemployed persons"	102.3
"Males"	"04 Almería"	"2011QIV"	"Unemployed persons"	65.8
"Females"	"04 Almería"	"2011QIV"	"Unemployed persons"	51.5
"Males"	"01 Araba/Álava"	"2011QIV"	"Unemployed persons"	10.3
"Females"	"01 Araba/Álava"	"2011QIV"	"Unemployed persons"	9.3
"Males"	"33 Asturias"	"2011QIV"	"Unemployed persons"	52.3
"Females"	"33 Asturias"	"2011QIV"	"Unemployed persons"	39.6
"Males"	"05 Ávila"	"2011QIV"	"Unemployed persons"	9.1
"Females"	"05 Ávila"	"2011QIV"	"Unemployed persons"	7.8
"Males"	"06 Badajoz"	"2011QIV"	"Unemployed persons"	47.6
"Females"	"06 Badajoz"	"2011QIV"	"Unemployed persons"	48.9
"Males"	"07 Balears, Illes"	"2011QIV"	"Unemployed persons"	83.5
"Females"	"07 Balears, Illes"	"2011QIV"	"Unemployed persons"	66.3
"Males"	"08 Barcelona"	"2011QIV"	"Unemployed persons"	320.3
"Females"	"08 Barcelona"	"2011QIV"	"Unemployed persons"	263.7
"Males"	"48 Bizkaia"	"2011QIV"	"Unemployed persons"	44
"Females"	"48 Bizkaia"	"2011QIV"	"Unemployed persons"	41.9
"Males"	"09 Burgos"	"2011QIV"	"Unemployed persons"	14.3
"Females"	"09 Burgos"	"2011QIV"	"Unemployed persons"	12.3
"Males"	"10 Cáceres"	"2011QIV"	"Unemployed persons"	26.3
"Females"	"10 Cáceres"	"2011QIV"	"Unemployed persons"	18.5
"Males"	"11 Cádiz"	"2011QIV"	"Unemployed persons"	110.3
"Females"	"11 Cádiz"	"2011QIV"	"Unemployed persons"	93
"Males"	"39 Cantabria"	"2011QIV"	"Unemployed persons"	25.4
"Females"	"39 Cantabria"	"2011QIV"	"Unemployed persons"	20.1
"Males"	"12 Castellón/Castelló"	"2011QIV"	"Unemployed persons"	44.2
"Females"	"12 Castellón/Castelló"	"2011QIV"	"Unemployed persons"	32.3
"Males"	"13 Ciudad Real"	"2011QIV"	"Unemployed persons"	35.3
"Females"	"13 Ciudad Real"	"2011QIV"	"Unemployed persons"	31.7
"Males"	"14 Córdoba"	"2011QIV"	"Unemployed persons"	61.9
"Females"	"14 Córdoba"	"2011QIV"	"Unemployed persons"	60.7
"Males"	"15 Coruña, A"	"2011QIV"	"Unemployed persons"	44.7
"Females"	"15 Coruña, A"	"2011QIV"	"Unemployed persons"	43.3
"Males"	"16 Cuenca"	"2011QIV"	"Unemployed persons"	11.4
"Females"	"16 Cuenca"	"2011QIV"	"Unemployed persons"	7.2
"Males"	"20 Gipuzkoa"	"2011QIV"	"Unemployed persons"	17.7
"Females"	"20 Gipuzkoa"	"2011QIV"	"Unemployed persons"	20.8
"Males"	"17 Girona"	"2011QIV"	"Unemployed persons"	50.9
"Females"	"17 Girona"	"2011QIV"	"Unemployed persons"	40
"Males"	"18 Granada"	"2011QIV"	"Unemployed persons"	65.3
"Females"	"18 Granada"	"2011QIV"	"Unemployed persons"	58.3
"Males"	"19 Guadalajara"	"2011QIV"	"Unemployed persons"	14.1
"Females"	"19 Guadalajara"	"2011QIV"	"Unemployed persons"	13.6
"Males"	"21 Huelva"	"2011QIV"	"Unemployed persons"	46.5
"Females"	"21 Huelva"	"2011QIV"	"Unemployed persons"	41.4
"Males"	"22 Huesca"	"2011QIV"	"Unemployed persons"	8.5
"Females"	"22 Huesca"	"2011QIV"	"Unemployed persons"	7.4
"Males"	"23 Jaén"	"2011QIV"	"Unemployed persons"	40.2
"Females"	"23 Jaén"	"2011QIV"	"Unemployed persons"	45.1
"Males"	"24 León"	"2011QIV"	"Unemployed persons"	21.2
"Females"	"24 León"	"2011QIV"	"Unemployed persons"	17.9
"Males"	"25 Lleida"	"2011QIV"	"Unemployed persons"	18.6
"Females"	"25 Lleida"	"2011QIV"	"Unemployed persons"	19.8
"Males"	"27 Lugo"	"2011QIV"	"Unemployed persons"	9.5
"Females"	"27 Lugo"	"2011QIV"	"Unemployed persons"	9.8
"Males"	"28 Madrid"	"2011QIV"	"Unemployed persons"	336
"Females"	"28 Madrid"	"2011QIV"	"Unemployed persons"	283.1
"Males"	"29 Málaga"	"2011QIV"	"Unemployed persons"	136.9
"Females"	"29 Málaga"	"2011QIV"	"Unemployed persons"	105.4
"Males"	"30 Murcia"	"2011QIV"	"Unemployed persons"	108
"Females"	"30 Murcia"	"2011QIV"	"Unemployed persons"	83.9
"Males"	"31 Navarra"	"2011QIV"	"Unemployed persons"	22.9
"Females"	"31 Navarra"	"2011QIV"	"Unemployed persons"	21
"Males"	"32 Ourense"	"2011QIV"	"Unemployed persons"	14.4
"Females"	"32 Ourense"	"2011QIV"	"Unemployed persons"	12.9
"Males"	"34 Palencia"	"2011QIV"	"Unemployed persons"	6
"Females"	"34 Palencia"	"2011QIV"	"Unemployed persons"	8.1
"Males"	"35 Palmas, Las"	"2011QIV"	"Unemployed persons"	94.5
"Females"	"35 Palmas, Las"	"2011QIV"	"Unemployed persons"	84.1
"Males"	"36 Pontevedra"	"2011QIV"	"Unemployed persons"	54.3
"Females"	"36 Pontevedra"	"2011QIV"	"Unemployed persons"	50.9
"Males"	"26 Rioja, La"	"2011QIV"	"Unemployed persons"	15.6
"Females"	"26 Rioja, La"	"2011QIV"	"Unemployed persons"	14.4
"Males"	"37 Salamanca"	"2011QIV"	"Unemployed persons"	12.6
"Females"	"37 Salamanca"	"2011QIV"	"Unemployed persons"	14.8
"Males"	"38 Santa Cruz de Tenerife"	"2011QIV"	"Unemployed persons"	83.6
"Females"	"38 Santa Cruz de Tenerife"	"2011QIV"	"Unemployed persons"	67.3
"Males"	"40 Segovia"	"2011QIV"	"Unemployed persons"	6.2
"Females"	"40 Segovia"	"2011QIV"	"Unemployed persons"	6.2
"Males"	"41 Sevilla"	"2011QIV"	"Unemployed persons"	143.5
"Females"	"41 Sevilla"	"2011QIV"	"Unemployed persons"	121.4
"Males"	"42 Soria"	"2011QIV"	"Unemployed persons"	2.9
"Females"	"42 Soria"	"2011QIV"	"Unemployed persons"	3.1
"Males"	"43 Tarragona"	"2011QIV"	"Unemployed persons"	51.6
"Females"	"43 Tarragona"	"2011QIV"	"Unemployed persons"	39.2
"Males"	"44 Teruel"	"2011QIV"	"Unemployed persons"	5.8
"Females"	"44 Teruel"	"2011QIV"	"Unemployed persons"	4.1
"Males"	"45 Toledo"	"2011QIV"	"Unemployed persons"	46.3
"Females"	"45 Toledo"	"2011QIV"	"Unemployed persons"	42.4
"Males"	"46 Valencia/València"	"2011QIV"	"Unemployed persons"	169.7
"Females"	"46 Valencia/València"	"2011QIV"	"Unemployed persons"	141.8
"Males"	"47 Valladolid"	"2011QIV"	"Unemployed persons"	26
"Females"	"47 Valladolid"	"2011QIV"	"Unemployed persons"	22.6
"Males"	"49 Zamora"	"2011QIV"	"Unemployed persons"	7.7
"Females"	"49 Zamora"	"2011QIV"	"Unemployed persons"	6.2
"Males"	"50 Zaragoza"	"2011QIV"	"Unemployed persons"	48.4
"Females"	"50 Zaragoza"	"2011QIV"	"Unemployed persons"	37.5
"Males"	"51 Ceuta"	"2011QIV"	"Unemployed persons"	4.9
"Females"	"51 Ceuta"	"2011QIV"	"Unemployed persons"	5.9
"Males"	"52 Melilla"	"2011QIV"	"Unemployed persons"	3.3
"Females"	"52 Melilla"	"2011QIV"	"Unemployed persons"	5
"Males"	"02 Albacete"	"2011QIII"	"Unemployed persons"	26.9
"Females"	"02 Albacete"	"2011QIII"	"Unemployed persons"	24.3
"Males"	"03 Alicante/Alacant"	"2011QIII"	"Unemployed persons"	110.8
"Females"	"03 Alicante/Alacant"	"2011QIII"	"Unemployed persons"	99
"Males"	"04 Almería"	"2011QIII"	"Unemployed persons"	67.8
"Females"	"04 Almería"	"2011QIII"	"Unemployed persons"	58
"Males"	"01 Araba/Álava"	"2011QIII"	"Unemployed persons"	9.3
"Females"	"01 Araba/Álava"	"2011QIII"	"Unemployed persons"	7.7
"Males"	"33 Asturias"	"2011QIII"	"Unemployed persons"	46.6
"Females"	"33 Asturias"	"2011QIII"	"Unemployed persons"	37.3
"Males"	"05 Ávila"	"2011QIII"	"Unemployed persons"	9.3
"Females"	"05 Ávila"	"2011QIII"	"Unemployed persons"	7.9
"Males"	"06 Badajoz"	"2011QIII"	"Unemployed persons"	41
"Females"	"06 Badajoz"	"2011QIII"	"Unemployed persons"	38.4
"Males"	"07 Balears, Illes"	"2011QIII"	"Unemployed persons"	66
"Females"	"07 Balears, Illes"	"2011QIII"	"Unemployed persons"	44.5
"Males"	"08 Barcelona"	"2011QIII"	"Unemployed persons"	328.4
"Females"	"08 Barcelona"	"2011QIII"	"Unemployed persons"	246.3
"Males"	"48 Bizkaia"	"2011QIII"	"Unemployed persons"	46.5
"Females"	"48 Bizkaia"	"2011QIII"	"Unemployed persons"	34.3
"Males"	"09 Burgos"	"2011QIII"	"Unemployed persons"	15.5
"Females"	"09 Burgos"	"2011QIII"	"Unemployed persons"	9.6
"Males"	"10 Cáceres"	"2011QIII"	"Unemployed persons"	22.1
"Females"	"10 Cáceres"	"2011QIII"	"Unemployed persons"	14.8
"Males"	"11 Cádiz"	"2011QIII"	"Unemployed persons"	98.1
"Females"	"11 Cádiz"	"2011QIII"	"Unemployed persons"	85.8
"Males"	"39 Cantabria"	"2011QIII"	"Unemployed persons"	23.6
"Females"	"39 Cantabria"	"2011QIII"	"Unemployed persons"	17
"Males"	"12 Castellón/Castelló"	"2011QIII"	"Unemployed persons"	43.2
"Females"	"12 Castellón/Castelló"	"2011QIII"	"Unemployed persons"	33.5
"Males"	"13 Ciudad Real"	"2011QIII"	"Unemployed persons"	28.6
"Females"	"13 Ciudad Real"	"2011QIII"	"Unemployed persons"	27
"Males"	"14 Córdoba"	"2011QIII"	"Unemployed persons"	67.6
"Females"	"14 Córdoba"	"2011QIII"	"Unemployed persons"	60.1
"Males"	"15 Coruña, A"	"2011QIII"	"Unemployed persons"	44.3
"Females"	"15 Coruña, A"	"2011QIII"	"Unemployed persons"	43.5
"Males"	"16 Cuenca"	"2011QIII"	"Unemployed persons"	11.4
"Females"	"16 Cuenca"	"2011QIII"	"Unemployed persons"	8.3
"Males"	"20 Gipuzkoa"	"2011QIII"	"Unemployed persons"	14.9
"Females"	"20 Gipuzkoa"	"2011QIII"	"Unemployed persons"	23.9
"Males"	"17 Girona"	"2011QIII"	"Unemployed persons"	47.6
"Females"	"17 Girona"	"2011QIII"	"Unemployed persons"	38.6
"Males"	"18 Granada"	"2011QIII"	"Unemployed persons"	70.2
"Females"	"18 Granada"	"2011QIII"	"Unemployed persons"	60.7
"Males"	"19 Guadalajara"	"2011QIII"	"Unemployed persons"	13.4
"Females"	"19 Guadalajara"	"2011QIII"	"Unemployed persons"	9.5
"Males"	"21 Huelva"	"2011QIII"	"Unemployed persons"	47.1
"Females"	"21 Huelva"	"2011QIII"	"Unemployed persons"	34.1
"Males"	"22 Huesca"	"2011QIII"	"Unemployed persons"	6.5
"Females"	"22 Huesca"	"2011QIII"	"Unemployed persons"	6.3
"Males"	"23 Jaén"	"2011QIII"	"Unemployed persons"	46.7
"Females"	"23 Jaén"	"2011QIII"	"Unemployed persons"	46.3
"Males"	"24 León"	"2011QIII"	"Unemployed persons"	18.2
"Females"	"24 León"	"2011QIII"	"Unemployed persons"	16.1
"Males"	"25 Lleida"	"2011QIII"	"Unemployed persons"	16.4
"Females"	"25 Lleida"	"2011QIII"	"Unemployed persons"	12.1
"Males"	"27 Lugo"	"2011QIII"	"Unemployed persons"	9.3
"Females"	"27 Lugo"	"2011QIII"	"Unemployed persons"	9.1
"Males"	"28 Madrid"	"2011QIII"	"Unemployed persons"	291.2
"Females"	"28 Madrid"	"2011QIII"	"Unemployed persons"	278.7
"Males"	"29 Málaga"	"2011QIII"	"Unemployed persons"	122.9
"Females"	"29 Málaga"	"2011QIII"	"Unemployed persons"	104.3
"Males"	"30 Murcia"	"2011QIII"	"Unemployed persons"	99.2
"Females"	"30 Murcia"	"2011QIII"	"Unemployed persons"	75.9
"Males"	"31 Navarra"	"2011QIII"	"Unemployed persons"	20.3
"Females"	"31 Navarra"	"2011QIII"	"Unemployed persons"	17.4
"Males"	"32 Ourense"	"2011QIII"	"Unemployed persons"	12.9
"Females"	"32 Ourense"	"2011QIII"	"Unemployed persons"	12.2
"Males"	"34 Palencia"	"2011QIII"	"Unemployed persons"	7.1
"Females"	"34 Palencia"	"2011QIII"	"Unemployed persons"	7
"Males"	"35 Palmas, Las"	"2011QIII"	"Unemployed persons"	94.4
"Females"	"35 Palmas, Las"	"2011QIII"	"Unemployed persons"	81.4
"Males"	"36 Pontevedra"	"2011QIII"	"Unemployed persons"	47.5
"Females"	"36 Pontevedra"	"2011QIII"	"Unemployed persons"	46.2
"Males"	"26 Rioja, La"	"2011QIII"	"Unemployed persons"	15.4
"Females"	"26 Rioja, La"	"2011QIII"	"Unemployed persons"	13.8
"Males"	"37 Salamanca"	"2011QIII"	"Unemployed persons"	13.4
"Females"	"37 Salamanca"	"2011QIII"	"Unemployed persons"	13.8
"Males"	"38 Santa Cruz de Tenerife"	"2011QIII"	"Unemployed persons"	78.7
"Females"	"38 Santa Cruz de Tenerife"	"2011QIII"	"Unemployed persons"	63.2
"Males"	"40 Segovia"	"2011QIII"	"Unemployed persons"	6
"Females"	"40 Segovia"	"2011QIII"	"Unemployed persons"	5.1
"Males"	"41 Sevilla"	"2011QIII"	"Unemployed persons"	135
"Females"	"41 Sevilla"	"2011QIII"	"Unemployed persons"	123.3
"Males"	"42 Soria"	"2011QIII"	"Unemployed persons"	2.4
"Females"	"42 Soria"	"2011QIII"	"Unemployed persons"	3.2
"Males"	"43 Tarragona"	"2011QIII"	"Unemployed persons"	46.9
"Females"	"43 Tarragona"	"2011QIII"	"Unemployed persons"	36.3
"Males"	"44 Teruel"	"2011QIII"	"Unemployed persons"	4.8
"Females"	"44 Teruel"	"2011QIII"	"Unemployed persons"	4.4
"Males"	"45 Toledo"	"2011QIII"	"Unemployed persons"	41.6
"Females"	"45 Toledo"	"2011QIII"	"Unemployed persons"	38.7
"Males"	"46 Valencia/València"	"2011QIII"	"Unemployed persons"	171.5
"Females"	"46 Valencia/València"	"2011QIII"	"Unemployed persons"	146.3
"Males"	"47 Valladolid"	"2011QIII"	"Unemployed persons"	23.8
"Females"	"47 Valladolid"	"2011QIII"	"Unemployed persons"	23.2
"Males"	"49 Zamora"	"2011QIII"	"Unemployed persons"	8.2
"Females"	"49 Zamora"	"2011QIII"	"Unemployed persons"	6.6
"Males"	"50 Zaragoza"	"2011QIII"	"Unemployed persons"	46.2
"Females"	"50 Zaragoza"	"2011QIII"	"Unemployed persons"	37.8
"Males"	"51 Ceuta"	"2011QIII"	"Unemployed persons"	5.4
"Females"	"51 Ceuta"	"2011QIII"	"Unemployed persons"	5.5
"Males"	"52 Melilla"	"2011QIII"	"Unemployed persons"	4.1
"Females"	"52 Melilla"	"2011QIII"	"Unemployed persons"	3.5
"Males"	"02 Albacete"	"2011QII"	"Unemployed persons"	24
"Females"	"02 Albacete"	"2011QII"	"Unemployed persons"	24.7
"Males"	"03 Alicante/Alacant"	"2011QII"	"Unemployed persons"	114.5
"Females"	"03 Alicante/Alacant"	"2011QII"	"Unemployed persons"	87.4
"Males"	"04 Almería"	"2011QII"	"Unemployed persons"	65.2
"Females"	"04 Almería"	"2011QII"	"Unemployed persons"	58.8
"Males"	"01 Araba/Álava"	"2011QII"	"Unemployed persons"	8.3
"Females"	"01 Araba/Álava"	"2011QII"	"Unemployed persons"	6.6
"Males"	"33 Asturias"	"2011QII"	"Unemployed persons"	46.8
"Females"	"33 Asturias"	"2011QII"	"Unemployed persons"	37.9
"Males"	"05 Ávila"	"2011QII"	"Unemployed persons"	11.2
"Females"	"05 Ávila"	"2011QII"	"Unemployed persons"	7.4
"Males"	"06 Badajoz"	"2011QII"	"Unemployed persons"	41.2
"Females"	"06 Badajoz"	"2011QII"	"Unemployed persons"	40.5
"Males"	"07 Balears, Illes"	"2011QII"	"Unemployed persons"	66.3
"Females"	"07 Balears, Illes"	"2011QII"	"Unemployed persons"	50.5
"Males"	"08 Barcelona"	"2011QII"	"Unemployed persons"	292.4
"Females"	"08 Barcelona"	"2011QII"	"Unemployed persons"	230.5
"Males"	"48 Bizkaia"	"2011QII"	"Unemployed persons"	42.5
"Females"	"48 Bizkaia"	"2011QII"	"Unemployed persons"	36.6
"Males"	"09 Burgos"	"2011QII"	"Unemployed persons"	14.6
"Females"	"09 Burgos"	"2011QII"	"Unemployed persons"	11.8
"Males"	"10 Cáceres"	"2011QII"	"Unemployed persons"	20.5
"Females"	"10 Cáceres"	"2011QII"	"Unemployed persons"	14.3
"Males"	"11 Cádiz"	"2011QII"	"Unemployed persons"	100.3
"Females"	"11 Cádiz"	"2011QII"	"Unemployed persons"	81.8
"Males"	"39 Cantabria"	"2011QII"	"Unemployed persons"	25.5
"Females"	"39 Cantabria"	"2011QII"	"Unemployed persons"	16.5
"Males"	"12 Castellón/Castelló"	"2011QII"	"Unemployed persons"	43.8
"Females"	"12 Castellón/Castelló"	"2011QII"	"Unemployed persons"	34.1
"Males"	"13 Ciudad Real"	"2011QII"	"Unemployed persons"	27.9
"Females"	"13 Ciudad Real"	"2011QII"	"Unemployed persons"	28.2
"Males"	"14 Córdoba"	"2011QII"	"Unemployed persons"	68.5
"Females"	"14 Córdoba"	"2011QII"	"Unemployed persons"	60.7
"Males"	"15 Coruña, A"	"2011QII"	"Unemployed persons"	42.2
"Females"	"15 Coruña, A"	"2011QII"	"Unemployed persons"	45.6
"Males"	"16 Cuenca"	"2011QII"	"Unemployed persons"	9.9
"Females"	"16 Cuenca"	"2011QII"	"Unemployed persons"	6.9
"Males"	"20 Gipuzkoa"	"2011QII"	"Unemployed persons"	14.1
"Females"	"20 Gipuzkoa"	"2011QII"	"Unemployed persons"	20.4
"Males"	"17 Girona"	"2011QII"	"Unemployed persons"	44.7
"Females"	"17 Girona"	"2011QII"	"Unemployed persons"	40.4
"Males"	"18 Granada"	"2011QII"	"Unemployed persons"	64.1
"Females"	"18 Granada"	"2011QII"	"Unemployed persons"	57.3
"Males"	"19 Guadalajara"	"2011QII"	"Unemployed persons"	14.3
"Females"	"19 Guadalajara"	"2011QII"	"Unemployed persons"	13.6
"Males"	"21 Huelva"	"2011QII"	"Unemployed persons"	37.9
"Females"	"21 Huelva"	"2011QII"	"Unemployed persons"	27.8
"Males"	"22 Huesca"	"2011QII"	"Unemployed persons"	9
"Females"	"22 Huesca"	"2011QII"	"Unemployed persons"	7.7
"Males"	"23 Jaén"	"2011QII"	"Unemployed persons"	43.8
"Females"	"23 Jaén"	"2011QII"	"Unemployed persons"	43.5
"Males"	"24 León"	"2011QII"	"Unemployed persons"	19.5
"Females"	"24 León"	"2011QII"	"Unemployed persons"	18.2
"Males"	"25 Lleida"	"2011QII"	"Unemployed persons"	17.9
"Females"	"25 Lleida"	"2011QII"	"Unemployed persons"	10.5
"Males"	"27 Lugo"	"2011QII"	"Unemployed persons"	9.8
"Females"	"27 Lugo"	"2011QII"	"Unemployed persons"	8.2
"Males"	"28 Madrid"	"2011QII"	"Unemployed persons"	298.9
"Females"	"28 Madrid"	"2011QII"	"Unemployed persons"	245.3
"Males"	"29 Málaga"	"2011QII"	"Unemployed persons"	122.4
"Females"	"29 Málaga"	"2011QII"	"Unemployed persons"	99.8
"Males"	"30 Murcia"	"2011QII"	"Unemployed persons"	99.7
"Females"	"30 Murcia"	"2011QII"	"Unemployed persons"	73.5
"Males"	"31 Navarra"	"2011QII"	"Unemployed persons"	22.4
"Females"	"31 Navarra"	"2011QII"	"Unemployed persons"	18.9
"Males"	"32 Ourense"	"2011QII"	"Unemployed persons"	12.6
"Females"	"32 Ourense"	"2011QII"	"Unemployed persons"	12.5
"Males"	"34 Palencia"	"2011QII"	"Unemployed persons"	6.7
"Females"	"34 Palencia"	"2011QII"	"Unemployed persons"	6.6
"Males"	"35 Palmas, Las"	"2011QII"	"Unemployed persons"	96.5
"Females"	"35 Palmas, Las"	"2011QII"	"Unemployed persons"	85.8
"Males"	"36 Pontevedra"	"2011QII"	"Unemployed persons"	47.5
"Females"	"36 Pontevedra"	"2011QII"	"Unemployed persons"	40.5
"Males"	"26 Rioja, La"	"2011QII"	"Unemployed persons"	15.1
"Females"	"26 Rioja, La"	"2011QII"	"Unemployed persons"	11.7
"Males"	"37 Salamanca"	"2011QII"	"Unemployed persons"	14.9
"Females"	"37 Salamanca"	"2011QII"	"Unemployed persons"	12.6
"Males"	"38 Santa Cruz de Tenerife"	"2011QII"	"Unemployed persons"	80.3
"Females"	"38 Santa Cruz de Tenerife"	"2011QII"	"Unemployed persons"	58.9
"Males"	"40 Segovia"	"2011QII"	"Unemployed persons"	5.2
"Females"	"40 Segovia"	"2011QII"	"Unemployed persons"	4.8
"Males"	"41 Sevilla"	"2011QII"	"Unemployed persons"	126.6
"Females"	"41 Sevilla"	"2011QII"	"Unemployed persons"	115
"Males"	"42 Soria"	"2011QII"	"Unemployed persons"	2.9
"Females"	"42 Soria"	"2011QII"	"Unemployed persons"	3.7
"Males"	"43 Tarragona"	"2011QII"	"Unemployed persons"	41.8
"Females"	"43 Tarragona"	"2011QII"	"Unemployed persons"	34.9
"Males"	"44 Teruel"	"2011QII"	"Unemployed persons"	5
"Females"	"44 Teruel"	"2011QII"	"Unemployed persons"	5.2
"Males"	"45 Toledo"	"2011QII"	"Unemployed persons"	45.9
"Females"	"45 Toledo"	"2011QII"	"Unemployed persons"	42.3
"Males"	"46 Valencia/València"	"2011QII"	"Unemployed persons"	151.9
"Females"	"46 Valencia/València"	"2011QII"	"Unemployed persons"	142.5
"Males"	"47 Valladolid"	"2011QII"	"Unemployed persons"	21.1
"Females"	"47 Valladolid"	"2011QII"	"Unemployed persons"	22.1
"Males"	"49 Zamora"	"2011QII"	"Unemployed persons"	8
"Females"	"49 Zamora"	"2011QII"	"Unemployed persons"	6.5
"Males"	"50 Zaragoza"	"2011QII"	"Unemployed persons"	49.9
"Females"	"50 Zaragoza"	"2011QII"	"Unemployed persons"	40
"Males"	"51 Ceuta"	"2011QII"	"Unemployed persons"	4.9
"Females"	"51 Ceuta"	"2011QII"	"Unemployed persons"	4.9
