arr_port^pax
0^LHR     ^81439.0
2175^YGR     ^0.0
2176^LUM     ^0.0
2177^YGJ     ^0.0
2178^IPN     ^0.0
2179^YEV     ^0.0
2180^GWL     ^0.0
2181^IPH     ^0.0
2182^RHD     ^0.0
2183^LXG     ^0.0
2184^ILY     ^0.0
2185^BAL     ^0.0
2186^IGD     ^0.0
2187^YHY     ^0.0
2188^HJJ     ^0.0
2189^FUN     ^0.0
2190^ELD     ^0.0
2191^XZZ     ^0.0
2192^HLD     ^0.0
2193^DYG     ^0.0
2194^WMN     ^0.0
2195^MJN     ^0.0
2196^XPJ     ^0.0
2197^XOP     ^0.0
2198^WUA     ^0.0
2199^HVG     ^0.0
2200^EGM     ^0.0
2201^MDL     ^0.0
2202^CZX     ^0.0
2203^MCE     ^0.0
2204^BND     ^0.0
2205^LUD     ^0.0
2206^LRR     ^0.0
2207^SPP     ^0.0
2208^LSA     ^0.0
2209^MWA     ^0.0
2210^VCT     ^0.0
2211^MSR     ^0.0
2212^YNZ     ^0.0
2213^RJK     ^0.0
2214^VLV     ^0.0
2215^TUG     ^-10.0
2216^LBL     ^-10.0
2217^SNE     ^-10.0
2218^LDH     ^-10.0
2219^JMU     ^-10.0
2220^JSI     ^-10.0
2221^YQL     ^-10.0
2222^YOP     ^-10.0
2223^OSK     ^-10.0
2224^XJY     ^-10.0
2225^MGF     ^-10.0
2226^DPL     ^-10.0
2227^SUG     ^-10.0
2228^LEN     ^-20.0
2229^TAG     ^-20.0
2230^CPQ     ^-20.0
2231^BER     ^-20.0
2232^KKJ     ^-20.0
2233^XUZ     ^-20.0
2234^KSN     ^-20.0
2235^YRB     ^-20.0
2236^HDG     ^-20.0
2237^YCU     ^-20.0
2238^YAY     ^-20.0
2239^LBF     ^-20.0
2240^BAV     ^-20.0
2241^VDM     ^-20.0
2242^FLA     ^-20.0
2243^IFN     ^-20.0
2244^CGD     ^-30.0
2245^RXS     ^-30.0
2246^KUU     ^-40.0
2247^LAU     ^-40.0
2248^XNN     ^-40.0
2249^UPG     ^-50.0
2250^RMQ     ^-50.0
2251^OBO     ^-60.0
2252^MUA     ^-60.0
2253^SDJ     ^-80.0
2254^MOZ     ^-80.0
2255^MYJ     ^-80.0
2256^XWG     ^-90.0
2257^CXR     ^-120.0
2258^FLW     ^-190.0
2259^MZV     ^-350.0
2260^AYQ     ^-1290.0
